                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1662,                 1.4608,                 1.2432,                0.62929,                0.54905,                0.59635,                0.44294,                  1.096,                 1.1475,                 1.1356,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.2182,                 1.4606,                 1.2699,                0.63147,                0.57397,                  0.621,                0.46608,                 1.0788,                 1.0926,                 1.1227,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 1.1195,                 1.3604,                 1.2118,                0.67792,                0.59772,                  0.649,                0.48569,                 1.0688,                 1.0593,                 1.1148,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 1.1238,                 1.2619,                  1.211,                0.69199,                0.61158,                0.66184,                0.49734,                 1.0589,                 1.0326,                  1.106,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 1.1631,                 1.3056,                 1.2226,                0.69441,                0.62049,                0.67769,                 0.5059,                 1.0487,                 1.0079,                 1.0958,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 1.1765,                 1.2691,                 1.2051,                0.69967,                0.62113,                0.68988,                0.51184,                 1.0443,                  1.009,                 1.0897,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                 1.1066,                 1.1645,                 1.1891,                0.77399,                0.61285,                0.70212,                0.52049,                 1.0424,                 1.0031,                 1.0894,             6.1562e-05,             6.1562e-05,             6.1562e-05
